liability,selection,candidate_model,benchmark_model,bootstrap_method,block_length,aggregation,tail_probability,inference_version,level,ticker,n_tickers,metric,estimate,ci_low,ci_high,bootstrap_probability_gt_zero,n_bootstrap,confidence
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,panel,ALL_EQUAL_WEIGHT,10,liability_offset_mean_difference,0.002794985892469002,0.00027147000117932313,0.005291259216121969,0.985,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,panel,ALL_EQUAL_WEIGHT,10,liability_offset_cvar50_difference,0.005830235308422947,0.0029246928697545626,0.0083928927001665,1.0,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,panel,ALL_EQUAL_WEIGHT,10,liability_offset_rmse_improvement,0.002484756805848551,0.0004413826470440134,0.004593346644020234,0.9935,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,panel,ALL_EQUAL_WEIGHT,10,liability_offset_downside_deviation_improvement,0.001495566646514063,-0.0007428791680726306,0.0037625657268893237,0.9115,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,AAPL,1,liability_offset_mean_difference,0.0019670609926654907,-0.002106724749951678,0.006179559983846269,0.8225,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,AAPL,1,liability_offset_cvar50_difference,0.004365936221209552,0.00069990583064309,0.008203373628661633,0.9865,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,AAPL,1,liability_offset_rmse_improvement,0.0017822814544171857,-0.0007001194305632682,0.004442448873219856,0.926,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,AAPL,1,liability_offset_downside_deviation_improvement,0.0013050330188193078,-0.001474368351259293,0.004160689914171932,0.83,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,IWM,1,liability_offset_mean_difference,0.006178215368248491,0.000760246968317519,0.011259753657041759,0.984,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,IWM,1,liability_offset_cvar50_difference,0.007579254787797886,0.0026089678965590026,0.01227135797196867,0.998,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,IWM,1,liability_offset_rmse_improvement,0.004246980807135529,0.0010284267888116445,0.007624943290022057,0.9925,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,IWM,1,liability_offset_downside_deviation_improvement,0.004151725441479437,0.00038990106459283375,0.00798641782916316,0.986,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,NVDA,1,liability_offset_mean_difference,-0.0056843000363091395,-0.023112260745296882,0.009479350573075957,0.253,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,NVDA,1,liability_offset_cvar50_difference,0.005534100070534033,-0.010708977366590258,0.01950812362299101,0.763,2000,0.95
