artifact_dir,model_name,model_family,seed,risk_measure,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,best_epoch,best_score
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,3456,cvar,spot_delta,25.0,False,False,456,-0.7493421648087955
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_spot_delta_k_25_weighted_1_learnw_0,proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,3456,cvar,spot_delta,25.0,True,False,604,-0.7558429028874352
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_spot_delta_k_50_weighted_0_learnw_0,proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,3456,cvar,spot_delta,50.0,False,False,649,-0.6721755251146497
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_spot_delta_k_50_weighted_1_learnw_0,proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,3456,cvar,spot_delta,50.0,True,False,476,-0.7165794973714011
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_vanilla_k_100_weighted_0_learnw_0,proto_source=vanilla_k=100_weighted=0_learnw=0,proto,3456,cvar,vanilla,100.0,False,False,541,-0.7414279163948128
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_vanilla_k_100_weighted_1_learnw_0,proto_source=vanilla_k=100_weighted=1_learnw=0,proto,3456,cvar,vanilla,100.0,True,False,643,-0.7186212148410934
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_vanilla_k_10_weighted_0_learnw_0,proto_source=vanilla_k=10_weighted=0_learnw=0,proto,3456,cvar,vanilla,10.0,False,False,793,-0.7641125597911221
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_vanilla_k_10_weighted_1_learnw_0,proto_source=vanilla_k=10_weighted=1_learnw=0,proto,3456,cvar,vanilla,10.0,True,False,791,-0.7241547345405532
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_vanilla_k_25_weighted_0_learnw_0,proto_source=vanilla_k=25_weighted=0_learnw=0,proto,3456,cvar,vanilla,25.0,False,False,758,-0.7079440431225867
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_vanilla_k_25_weighted_1_learnw_0,proto_source=vanilla_k=25_weighted=1_learnw=0,proto,3456,cvar,vanilla,25.0,True,False,732,-0.7167782812175297
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_vanilla_k_50_weighted_0_learnw_0,proto_source=vanilla_k=50_weighted=0_learnw=0,proto,3456,cvar,vanilla,50.0,False,False,748,-0.7426741839022863
