model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,paper_label
unhedged,baseline,,,,,,3,-0.0141930930937329,0.0018154013168128,-0.0601617284119129,-0.0834022512038548,0.5023364485981309,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,0.0003275843337178,0.0002250665177901,7.101365675528902e-05,0.0,-0.0012954771518707,-0.001048982143402,-0.0010411391655603,0.0,0.2725856697819314,0.2757009345794391,0.4953271028037384,TLT,Unhedged
vanilla,vanilla,,,,,cvar,3,-0.0142641067504882,0.001784285000281,-0.0593810379505157,-0.0823611120382944,0.9976635514018692,0.279511958360672,0.0068949909570316,0.0,0.0,0.0,0.0,161.66666666666666,0.0550431336136534,0.0,0.0,,True,True,True,-7.101365675528902e-05,0.0002565706769625,0.0001540528610348,0.0,0.0010411391655603,-0.0002543379863103,-7.842977841704402e-06,0.0,-0.4953271028037384,-0.2227414330218069,-0.2196261682242992,0.0,TLT,Vanilla DH
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.0287366223831971,0.0017280973966952,-0.1123998165130615,-0.1702885627746582,0.925848925848926,0.9494880437850952,0.0246388701101144,0.0675848925848925,0.0668052668052668,0.0007796257796257,0.3264033264033264,264.0,0.1168157065800494,0.0023611111111111,0.0784722222222222,,True,True,True,-0.0002600606530904,-4.60570057233059e-06,-9.68513389428445e-05,-0.0001689605414867,0.0064963897069295,0.0052871157725652,0.0053499440352121,-0.0002723932266235,-0.4192654192654192,-0.162162162162162,-0.16008316008316,0.0741510741510741,XLE,ProtoHedge (Mean frontier)
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0283240197847286,0.00157315894553,-0.1185523768266042,-0.1720996648073196,0.8177408177408179,0.9939795335133872,0.0191889566679795,0.010031185031185,0.010031185031185,0.0,0.0817740817740817,264.0,0.1161065215730211,0.0013715277777777,0.0194444444444444,,True,True,True,0.0001525419453779,0.0004079968978961,0.0003157512595256,0.0002436420569817,0.004685287674268,0.0034760137399037,0.0035388420025507,-0.0020834952592849,-0.3111573111573112,-0.054054054054054,-0.051975051975052,0.1822591822591821,XLE,ProtoHedge (Tail frontier)
spot_delta,baseline,,,,,,3,-0.0287320166826248,0.0018155281398119,-0.1190610428651173,-0.1755756785472234,0.7636867636867638,0.590568999449412,0.0215559278925259,0.0,0.0,0.0,0.0,,,,,,True,True,True,-0.0002554549525181,0.0,-9.224563837051392e-05,-0.0001643548409144,0.0012092739343643,0.0,6.28282626469745e-05,-0.0055595089991887,-0.2571032571032572,0.0,0.002079002079002,0.2363132363132362,XLE,Spot-Delta
spot_delta_band,baseline,,,,,,3,-0.0286397710442543,0.0017436782784634,-0.1182407811284065,-0.1756385068098704,0.7657657657657658,0.5072356561819712,0.0115783798197905,0.0,0.0,0.0,0.0,,,,,0.0833333333333333,True,True,True,-0.0001632093141476,9.224563837051392e-05,0.0,-7.21092025438956e-05,0.0011464456717173,-6.28282626469745e-05,0.0,-0.0056223372618357,-0.2591822591822592,-0.002079002079002,0.0,0.2342342342342341,XLE,Spot-Delta Band
unhedged,baseline,,,,,,3,-0.0284765617301066,0.0016721406738289,-0.1174961725870768,-0.1767849524815877,0.5065835065835066,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,0.0002554549525181,0.0001632093141476,9.110011160373688e-05,0.0,-0.0012092739343643,-0.0011464456717173,-0.006768782933553,0.0,0.2571032571032572,0.2591822591822592,0.4934164934164934,XLE,Unhedged
vanilla,vanilla,,,,,cvar,3,-0.0285676618417104,0.0015359507631587,-0.113051138818264,-0.1700161695480346,1.0,0.7917008201281229,0.0197764256348212,0.0,0.0,0.0,0.0,153.33333333333334,0.1172046661842614,0.0,0.0,,True,True,True,-9.110011160373688e-05,0.0001643548409144,7.21092025438956e-05,0.0,0.006768782933553,0.0055595089991887,0.0056223372618357,0.0,-0.4934164934164934,-0.2363132363132362,-0.2342342342342341,0.0,XLE,Vanilla DH
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.024107097958525,0.0002907477400642,-0.0770735790332158,-0.1039938355485598,0.8735380116959064,0.8937410116195679,0.0332888190944989,0.0004020467836257,0.0,0.0004020467836257,0.0043859649122807,107.0,0.0897838059662076,0.0001101321585903,0.0022026431718061,,True,True,True,-0.0001766830682754,-0.0004299754897753,-0.0004613287746906,-0.0003425658990939,0.0032741725444793,0.0008280500769615,0.0002890452742576,-0.000501736998558,-0.2434210526315788,-0.0577485380116958,-0.0606725146198829,0.1264619883040936,XLF,ProtoHedge (Mean frontier)
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0236836497982343,0.0009980809241864,-0.0747690498828888,-0.101901538670063,0.8830409356725145,0.9941248695055644,0.0263169122238953,0.0087719298245614,0.0082785087719298,0.0004934210526315,0.1089181286549707,72.0,0.0893766322946818,0.0006975036710719,0.0117474302496328,,True,True,True,0.0002467650920152,-6.527329484619371e-06,-3.788061439990997e-05,8.088226119677341e-05,0.0053664694229761,0.0029203469554583,0.0023813421527544,0.0015905598799387,-0.252923976608187,-0.067251461988304,-0.0701754385964911,0.1169590643274854,XLF,ProtoHedge (Tail frontier)
spot_delta,baseline,,,,,,3,-0.0236771224687496,0.0012235788846538,-0.0788380280137062,-0.1048218856255213,0.8157894736842105,0.6902719736099243,0.0357011593878269,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0002532924214998,0.0,-3.13532849152906e-05,8.740959068139278e-05,0.0024461224675178,0.0,-0.0005390048027038,-0.0013297870755195,-0.185672514619883,0.0,-0.0029239766081871,0.1842105263157895,XLF,Spot-Delta
