regime_type,regime,series,n,mean,p05,cvar05,shortfall_prob,seed,analysis_label,paper_label
drawdown_regime,mid_dd,vanilla_gains,224,1.6627188511644948,0.24385564997792245,0.06867993707419373,0.017857142857142856,2345,vanilla,Vanilla DH
drawdown_regime,mid_dd,proto_mean_gains,224,1.665271969861351,0.22658284008502963,0.038406703931589924,0.017857142857142856,2345,proto_mean,ProtoHedge (Mean frontier)
drawdown_regime,mid_dd,proto_tail_gains,224,1.6554591487511061,0.25924746692180634,0.08496313930178682,0.013392857142857142,2345,proto_tail,ProtoHedge (Tail frontier)
drawdown_regime,deep_dd,unhedged_gains,225,-0.0319061279296875,-0.06977035999298095,-0.08291743199030559,0.96,2345,unhedged,Unhedged
drawdown_regime,deep_dd,spot_delta_gains,225,-0.030262429338116716,-0.06937735676765441,-0.07891115608314674,0.9822222222222222,2345,spot_delta,Spot-Delta
drawdown_regime,deep_dd,vanilla_gains,225,1.8458479691959089,0.1396837592124939,-0.005302057756731908,0.03111111111111111,2345,vanilla,Vanilla DH
drawdown_regime,deep_dd,proto_mean_gains,225,1.8703869437509113,0.1471443980932236,-0.10343569020430247,0.02666666666666667,2345,proto_mean,ProtoHedge (Mean frontier)
drawdown_regime,deep_dd,proto_tail_gains,225,1.8350386072695255,0.13057428002357482,-0.06290693177531163,0.022222222222222223,2345,proto_tail,ProtoHedge (Tail frontier)
return_regime,down,unhedged_gains,225,0.0,0.0,0.0,0.0,3456,unhedged,Unhedged
return_regime,down,spot_delta_gains,225,-0.0022925896263526133,-0.020808965340256686,-0.03165551492323478,0.5644444444444444,3456,spot_delta,Spot-Delta
return_regime,down,vanilla_gains,225,1.5589202576078889,0.1662203043699265,0.023730442917440087,0.017777777777777778,3456,vanilla,Vanilla DH
return_regime,down,proto_mean_gains,225,1.5177856498791111,0.22438162565231326,0.0904044567917784,0.017777777777777778,3456,proto_mean,ProtoHedge (Mean frontier)
return_regime,down,proto_tail_gains,225,1.5567817370427979,0.21939032077789308,0.08759407512843609,0.013333333333333334,3456,proto_tail,ProtoHedge (Tail frontier)
return_regime,middle,unhedged_gains,224,-0.014532770961523056,-0.02585601806640625,-0.026784449815750122,0.9642857142857143,3456,unhedged,Unhedged
return_regime,middle,spot_delta_gains,224,-0.01409442585333766,-0.032568353973329064,-0.04268269923826059,0.8883928571428571,3456,spot_delta,Spot-Delta
return_regime,middle,vanilla_gains,224,1.57116300862981,0.1371435709297657,0.025059412699192762,0.013392857142857142,3456,vanilla,Vanilla DH
return_regime,middle,proto_mean_gains,224,1.5745984428129824,0.10185231529176235,-0.0034235029791792235,0.022321428571428572,3456,proto_mean,ProtoHedge (Mean frontier)
return_regime,middle,proto_tail_gains,224,1.5823897473726123,0.09909508228302003,0.021770489984191954,0.008928571428571428,3456,proto_tail,ProtoHedge (Tail frontier)
return_regime,up,unhedged_gains,225,-0.05098835574256049,-0.08638982772827149,-0.13244726260503134,1.0,3456,unhedged,Unhedged
return_regime,up,spot_delta_gains,225,-0.047707527183617156,-0.08991305083036423,-0.12537274261315665,0.9911111111111112,3456,spot_delta,Spot-Delta
return_regime,up,vanilla_gains,225,1.8102833010639168,0.1018677905201912,-0.05115941126132384,0.02666666666666667,3456,vanilla,Vanilla DH
return_regime,up,proto_mean_gains,225,1.7872970671786201,0.17400245964527133,-0.05905386681358019,0.02666666666666667,3456,proto_mean,ProtoHedge (Mean frontier)
return_regime,up,proto_tail_gains,225,1.7396186166670586,0.20897795557975773,-0.05717946651081244,0.022222222222222223,3456,proto_tail,ProtoHedge (Tail frontier)
vol_regime,low_vol,unhedged_gains,225,-0.023455597029791938,-0.06422119140625,-0.07670734326044719,0.7555555555555555,3456,unhedged,Unhedged
vol_regime,low_vol,spot_delta_gains,225,-0.023002493945985206,-0.06240125223994255,-0.0770107436304291,0.8711111111111111,3456,spot_delta,Spot-Delta
vol_regime,low_vol,vanilla_gains,225,1.273567398491626,0.03884564563632012,-0.069911246750659,0.04,3456,vanilla,Vanilla DH
vol_regime,low_vol,proto_mean_gains,225,1.3354119969676765,0.14686044156551367,0.027496725204400718,0.013333333333333334,3456,proto_mean,ProtoHedge (Mean frontier)
vol_regime,low_vol,proto_tail_gains,225,1.3209151448392207,0.23486218452453614,0.06952099424476425,0.013333333333333334,3456,proto_tail,ProtoHedge (Tail frontier)
vol_regime,mid_vol,unhedged_gains,224,-0.019293058663606644,-0.06207859516143799,-0.0737336277961731,0.6116071428571429,3456,unhedged,Unhedged
vol_regime,mid_vol,spot_delta_gains,224,-0.0187221983316184,-0.059017605148255825,-0.07367388034860294,0.7723214285714286,3456,spot_delta,Spot-Delta
