model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,risk_measure,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
proto_source=vanilla_k=10_weighted=0_learnw=0,val,1234,proto,4.850050926208496,2.6471128463745117,0.32250821590423584,1.428041934967041,0.8307835459709167,4.478885650634766,9.936776161193848,0.002976190476190476,-0.021169060841202736,4.887655258178711,0.016435276716947556,0.9086350798606873,4.0,1.6329540014266968,2.000000238418579,cvar,672.0,20.0,2.0,vanilla,10.0,False,False,2.2164337635040283,4.994431018829346
proto_source=vanilla_k=10_weighted=0_learnw=0,test,1234,proto,4.757039546966553,2.7688119411468506,0.2892783284187317,0.9057034254074097,0.4653606414794922,4.162059783935547,10.354135513305664,0.005934718100890208,-0.020197231322526932,4.793367862701416,0.016131386160850525,0.8861651420593262,4.0,1.6335484981536865,2.000000238418579,cvar,674.0,20.0,2.0,vanilla,10.0,False,False,2.2164337635040283,4.994431018829346
proto_source=vanilla_k=25_weighted=1_learnw=0,train,1234,proto,4.980725288391113,2.76206374168396,0.22654613852500916,1.208787441253662,0.5739736557006836,4.462767601013184,10.445134162902832,0.005097164702134438,-0.021356062963604927,5.019307613372803,0.01722647435963154,0.9558777213096619,4.0,1.7733657360076904,2.000000238418579,cvar,3139.0,20.0,2.0,vanilla,25.0,True,False,3.1308345794677734,5.107680797576904
proto_source=vanilla_k=25_weighted=1_learnw=0,val,1234,proto,5.058292388916016,2.7647383213043213,0.1768140345811844,1.1945315599441528,0.5573939681053162,4.661651611328125,10.224791526794434,0.005952380952380952,-0.021169060841202736,5.096981048583984,0.01752031221985817,0.9755702614784241,4.0,1.7665542364120483,2.0,cvar,672.0,20.0,2.0,vanilla,25.0,True,False,3.1308345794677734,5.107680797576904
proto_source=vanilla_k=25_weighted=1_learnw=0,test,1234,proto,4.923152923583984,2.8423681259155273,-0.022962380200624466,0.9000018835067749,0.3184950351715088,4.501490592956543,10.381091117858887,0.013353115727002967,-0.020197231322526932,4.960372447967529,0.017022188752889633,0.9432689547538757,4.0,1.7699642181396484,2.000000238418579,cvar,674.0,20.0,2.0,vanilla,25.0,True,False,3.1308345794677734,5.107680797576904
proto_source=vanilla_k=25_weighted=0_learnw=0,train,1234,proto,4.710153579711914,2.704197406768799,0.07850688695907593,0.9732487797737122,0.41025328636169434,4.309431552886963,9.82717514038086,0.009238611022618668,-0.021356062963604927,4.749853134155273,0.018343426287174225,0.9909186363220215,4.0,1.5889548063278198,2.000000238418579,cvar,3139.0,20.0,2.0,vanilla,25.0,False,False,1.7702322006225586,4.996318817138672
proto_source=vanilla_k=25_weighted=0_learnw=0,val,1234,proto,4.762440204620361,2.75201678276062,-0.05577646940946579,1.0622873306274414,0.48611754179000854,4.329898834228516,9.967414855957031,0.011904761904761904,-0.021169060841202736,4.8020339012146,0.01842425763607025,0.9981639981269836,4.0,1.5794016122817993,2.000000238418579,cvar,672.0,20.0,2.0,vanilla,25.0,False,False,1.7702322006225586,4.996318817138672
proto_source=vanilla_k=25_weighted=0_learnw=0,test,1234,proto,4.670998573303223,2.774869918823242,0.23379576206207275,0.9620014429092407,0.4743320941925049,4.262957572937012,10.14895248413086,0.008902077151335312,-0.020197231322526932,4.709405422210693,0.018210193142294884,0.9825132489204407,4.0,1.58220636844635,2.000000238418579,cvar,674.0,20.0,2.0,vanilla,25.0,False,False,1.7702322006225586,4.996318817138672
proto_source=vanilla_k=50_weighted=1_learnw=0,train,1234,proto,5.322714328765869,2.740710973739624,0.04483945295214653,1.2966057062149048,0.5655616521835327,4.9401116371154785,10.534401893615723,0.008601465434851864,-0.021356062963604927,5.361382961273193,0.01731243170797825,0.9533180594444275,4.0,1.3531506061553955,2.000000238418579,cvar,3139.0,20.0,2.0,vanilla,50.0,True,False,3.0674936771392822,5.039688587188721
proto_source=vanilla_k=50_weighted=1_learnw=0,val,1234,proto,5.419329643249512,2.7098114490509033,0.0708448737859726,1.5898278951644897,0.798224151134491,5.011817932128906,10.815155982971191,0.005952380952380952,-0.021169060841202736,5.458086967468262,0.017588777467608452,0.9712662696838379,4.0,1.3591200113296509,2.0,cvar,672.0,20.0,2.0,vanilla,50.0,True,False,3.0674936771392822,5.039688587188721
