model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,risk_measure,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
proto_source=spot_delta_k=100_weighted=1_learnw=0,test,1234,proto,4.30081033706665,3.8735766410827637,-1.9488699436187744,-0.18650314211845398,-1.0144425630569458,3.502197742462158,12.804336547851562,0.06379821958456973,-0.020197231322526932,4.336182594299316,0.01517458725720644,0.8125669956207275,4.0,1.400375247001648,2.000000238418579,0.45975519287833827,0.24480712166172106,0.21494807121661721,1.0,cvar,674.0,20.0,2.0,spot_delta,100.0,True,False,1.4683407545089722,5.074354648590088
proto_source=spot_delta_k=100_weighted=0_learnw=0,train,1234,proto,4.698441982269287,4.0373005867004395,-1.336623191833496,-0.15087103843688965,-0.8404929041862488,3.8815479278564453,12.772412300109863,0.05670595731124562,-0.021356062963604927,4.736688137054443,0.01689011976122856,0.9213973879814148,4.0,1.124530553817749,2.000000238418579,0.44615323351385794,0.21212169480726345,0.23403153870659446,1.0,cvar,3139.0,20.0,2.0,spot_delta,100.0,False,False,2.6070995330810547,5.2109293937683105
proto_source=spot_delta_k=100_weighted=0_learnw=0,val,1234,proto,4.709782600402832,3.8932440280914307,-0.8752418160438538,-0.021317917853593826,-0.616766095161438,4.0275068283081055,12.605785369873047,0.05505952380952381,-0.021169060841202736,4.7480363845825195,0.01708502694964409,0.9358465075492859,4.0,1.125093936920166,2.000000238418579,0.4480654761904762,0.2148065476190476,0.23325892857142858,1.0,cvar,672.0,20.0,2.0,spot_delta,100.0,False,False,2.6070995330810547,5.2109293937683105
proto_source=spot_delta_k=100_weighted=0_learnw=0,test,1234,proto,4.459631443023682,4.163905620574951,-1.614035725593567,-0.31064316630363464,-1.1748262643814087,3.5753564834594727,12.703811645507812,0.07418397626112759,-0.020197231322526932,4.49664306640625,0.016814012080430984,0.9176331758499146,4.0,1.125232458114624,2.000000238418579,0.4456973293768546,0.21120178041543028,0.23449554896142433,1.0,cvar,674.0,20.0,2.0,spot_delta,100.0,False,False,2.6070995330810547,5.2109293937683105
proto_source=vanilla_k=10_weighted=1_learnw=0,train,1234,proto,4.537479400634766,4.051874160766602,-1.127636194229126,-0.24357227981090546,-0.8405174612998962,3.6802492141723633,12.524168014526367,0.06913029627269832,-0.021356062963604927,4.574579238891602,0.015743767842650414,0.878756046295166,4.0,1.5013673305511475,2.000000238418579,0.5408808537750877,0.22010990761388977,0.32077094616119783,1.0,cvar,3139.0,20.0,2.0,vanilla,10.0,True,False,2.0181596279144287,4.997932434082031
proto_source=vanilla_k=10_weighted=1_learnw=0,val,1234,proto,4.650890350341797,3.928485155105591,-0.8879444003105164,-0.09693805873394012,-0.5626084208488464,4.074404716491699,12.153449058532715,0.0625,-0.021169060841202736,4.687989711761475,0.015930714085698128,0.8917731642723083,4.0,1.4878820180892944,2.0,0.5366815476190476,0.22358630952380953,0.3130952380952381,1.0,cvar,672.0,20.0,2.0,vanilla,10.0,True,False,2.0181596279144287,4.997932434082031
proto_source=vanilla_k=10_weighted=1_learnw=0,test,1234,proto,4.355510711669922,4.1516852378845215,-1.3905831575393677,-0.37622082233428955,-0.9559825658798218,3.3018226623535156,12.795352935791016,0.08011869436201781,-0.020197231322526932,4.391160488128662,0.015452436171472073,0.8606670498847961,4.0,1.489598274230957,2.000000238418579,0.5396142433234421,0.22014094955489613,0.319473293768546,1.0,cvar,674.0,20.0,2.0,vanilla,10.0,True,False,2.0181596279144287,4.997932434082031
proto_source=vanilla_k=10_weighted=0_learnw=0,train,1234,proto,4.676090240478516,4.148449420928955,-1.4149279594421387,-0.23365254700183868,-1.0223820209503174,3.7947423458099365,12.863180160522461,0.06212169480726346,-0.021356062963604927,4.714752674102783,0.017306381836533546,0.9902645945549011,4.0,1.6129326820373535,2.000000238418579,0.5594377190187958,0.2236221726664543,0.3358155463523415,1.0,cvar,3139.0,20.0,2.0,vanilla,10.0,False,False,1.9968020915985107,4.96659517288208
proto_source=vanilla_k=10_weighted=0_learnw=0,val,1234,proto,4.819900035858154,4.042147636413574,-1.5696430206298828,-0.0020756833255290985,-0.8839426040649414,4.0518951416015625,12.60075855255127,0.050595238095238096,-0.021169060841202736,4.858765602111816,0.017696501687169075,1.0148289203643799,4.0,1.6034291982650757,2.000000238418579,0.5593377976190477,0.2275297619047619,0.3318080357142857,1.0,cvar,672.0,20.0,2.0,vanilla,10.0,False,False,1.9968020915985107,4.96659517288208
proto_source=vanilla_k=10_weighted=0_learnw=0,test,1234,proto,4.566194534301758,4.26218843460083,-1.4403268098831177,-0.3141508400440216,-1.0259863138198853,3.54014253616333,13.347203254699707,0.06676557863501484,-0.020197231322526932,4.603731632232666,0.01733986847102642,0.9905866980552673,4.0,1.6041518449783325,2.0,0.5589391691394658,0.2228486646884273,0.33609050445103855,1.0,cvar,674.0,20.0,2.0,vanilla,10.0,False,False,1.9968020915985107,4.96659517288208
proto_source=vanilla_k=25_weighted=1_learnw=0,train,1234,proto,4.478964328765869,3.6992533206939697,-0.9214452505111694,0.0003338370588608086,-0.5864666700363159,3.7657971382141113,11.94814395904541,0.05001592863969417,-0.021356062963604927,4.516486644744873,0.01616637594997883,0.9060758948326111,4.0,1.4027633666992188,2.000000238418579,0.45621216948072635,0.28462089837527876,0.17159127110544758,1.0,cvar,3139.0,20.0,2.0,vanilla,25.0,True,False,3.3744585514068604,4.9732346534729
proto_source=vanilla_k=25_weighted=1_learnw=0,val,1234,proto,4.572786808013916,3.613438129425049,-0.7242656350135803,0.11723372340202332,-0.47702929377555847,3.9726593494415283,12.254621505737305,0.044642857142857144,-0.021169060841202736,4.610348701477051,0.016393139958381653,0.9209243655204773,4.0,1.4060828685760498,2.000000238418579,0.45405505952380953,0.28932291666666665,0.16473214285714285,1.0,cvar,672.0,20.0,2.0,vanilla,25.0,True,False,3.3744585514068604,4.9732346534729
proto_source=vanilla_k=25_weighted=1_learnw=0,test,1234,proto,4.35805082321167,3.88651704788208,-1.0717743635177612,-0.07629574090242386,-0.6733105778694153,3.6351747512817383,11.54530143737793,0.06824925816023739,-0.020197231322526932,4.394250392913818,0.01600220985710621,0.8980007767677307,4.0,1.4114309549331665,2.000000238418579,0.45649109792284864,0.2876854599406528,0.16880563798219583,1.0,cvar,674.0,20.0,2.0,vanilla,25.0,True,False,3.3744585514068604,4.9732346534729
proto_source=vanilla_k=25_weighted=0_learnw=0,train,1234,proto,4.551912307739258,3.6925439834594727,-1.0549331903457642,-0.045583680272102356,-0.6392549872398376,3.871490001678467,11.93171501159668,0.05543166613571201,-0.021356062963604927,4.590482711791992,0.01721394620835781,0.989291787147522,4.0,1.4982030391693115,2.000000476837158,0.44288786237655303,0.26629499840713605,0.176592863969417,1.0,cvar,3139.0,20.0,2.0,vanilla,25.0,False,False,2.7990427017211914,4.861710548400879
proto_source=vanilla_k=25_weighted=0_learnw=0,val,1234,proto,4.541712284088135,3.6295456886291504,-1.2195554971694946,-0.11665843427181244,-0.6561912298202515,3.974788188934326,11.903340339660645,0.05952380952380952,-0.021169060841202736,4.580252170562744,0.017370620742440224,1.0037989616394043,4.0,1.5092202425003052,2.000000238418579,0.44248511904761906,0.2701264880952381,0.17235863095238096,1.0,cvar,672.0,20.0,2.0,vanilla,25.0,False,False,2.7990427017211914,4.861710548400879
