PERMNO,date,PRC
60716,1974-07-17,-20.62500
60716,1974-07-18,-21.12500
60716,1974-07-19,-20.62500
60716,1974-07-22,-20.62500
60716,1974-07-23,-20.62500
60716,1974-07-24,-20.87500
60716,1974-07-25,-20.37500
60716,1974-07-26,-20.12500
60716,1974-07-29,-19.37500
60716,1974-07-30,-19.12500
60716,1974-07-31,-18.87500
60716,1974-08-01,-18.37500
60716,1974-08-02,-18.12500
60716,1974-08-05,-17.87500
60716,1974-08-06,-18.87500
60716,1974-08-07,-20.87500
60716,1974-08-08,-19.87500
60716,1974-08-09,-20.12500
60716,1974-08-12,-20.12500
60716,1974-08-13,-19.62500
60716,1974-08-14,-18.87500
60716,1974-08-15,-19.37500
60716,1974-08-16,-20.37500
60716,1974-08-19,-19.87500
60716,1974-08-20,-20.37500
60716,1974-08-21,-19.12500
60716,1974-08-22,-17.37500
60716,1974-08-23,-17.12500
60716,1974-08-26,-18.12500
60716,1974-08-27,-18.12500
60716,1974-08-28,-17.62500
60716,1974-08-29,-16.87500
60716,1974-08-30,-17.62500
60716,1974-09-03,-15.87500
60716,1974-09-04,-16.37500
60716,1974-09-05,-16.87500
60716,1974-09-06,-16.87500
60716,1974-09-09,-16.12500
60716,1974-09-10,-13.87500
60716,1974-09-11,-13.62500
60716,1974-09-12,-12.87500
60716,1974-09-13,-10.87500
60716,1974-09-16,-11.87500
60716,1974-09-17,-12.37500
60716,1974-09-18,-12.12500
60716,1974-09-19,-8.87500
60716,1974-09-20,-10.12500
60716,1974-09-23,-9.37500
60716,1974-09-24,-8.87500
60716,1974-09-25,-9.12500
60716,1974-09-26,-8.62500
60716,1974-09-27,-8.62500
60716,1974-09-30,-8.37500
60716,1974-10-01,-8.37500
60716,1974-10-02,-8.62500
60716,1974-10-03,-8.37500
60716,1974-10-04,-8.12500
60716,1974-10-07,-8.62500
60716,1974-10-08,-8.12500
60716,1974-10-09,-8.37500
60716,1974-10-10,-9.62500
60716,1974-10-11,-9.87500
60716,1974-10-14,-9.87500
60716,1974-10-15,-9.62500
60716,1974-10-16,-9.62500
60716,1974-10-17,-9.87500
60716,1974-10-18,-9.87500
60716,1974-10-21,-9.37500
60716,1974-10-22,-9.62500
60716,1974-10-23,-9.62500
60716,1974-10-24,-9.37500
60716,1974-10-25,-8.87500
60716,1974-10-28,-8.37500
60716,1974-10-29,-8.37500
